id,puzzle,solution
31,000630050007050030905174000570003610204806305690517420020780006700000183080000007,842639751167258934935174862578423619214896375693517428329781546756942183481365297
32,004900106006800020000602500010067300000400719370080200680014050900000001051096002,824975136596831427137642598419267385268453719375189264682714953943528671751396842
33,000283975920007413000000000500821640000640530040300290005430180060750324830090756,416283975928567413357914862593821647782649531641375298275436189169758324834192756
34,016025308300004600072000904705001403041538006000407520690052000000610009003749800,416925378389174652572386914765291483241538796938467521694852137857613249123749865
35,709100206060420080080900000400090002000562010002000008020300850500080000801050600,759138246163425789284976135475891362398562417612743598926317854537684921841259673
36,285000014000031800000804007400005000017400060000067403752000000000900170198702530,285679314674531829931824657463285791817493265529167483752316948346958172198742536
37,014000920080072600627910008203009070470031006100000300900004005840057000702698031,314865927589472613627913548263589174475231896198746352936124785841357269752698431
38,793100500405983100012405030607350090009048753354090010076839420238014960900506000,793162548465983172812475639687351294129648753354297816576839421238714965941526387
39,760193050045826903038000060600000300050040690804000520586000009329000815007080006,762193458145826973938574162671259384253748691894631527586312749329467815417985236
40,002814000850000400000602009005040631100700240400000008500006907000170803007023000,392814576856397412714652389975248631168739245423561798531486927249175863687923154
41,100000005050060879602500001010000048000000607740658300523007000000005003901200000,198374265354162879672589431216793548835421697749658312523947186467815923981236754
42,300008060002001370000350200280090106790013005000800020003004010910080000460000792,349728561852461379671359284284597136796213845135846927523974618917682453468135792
43,045009630960308000813070205007641000089735010000982703230810054400090000090204070,745129638962358147813476295327641589689735412154982763236817954471593826598264371
44,205680097179204050086000132000108500847050300900060820690805713510409086728310040,235681497179234658486597132362148579847952361951763824694825713513479286728316945
45,000030064450120000873045219105200087740086300309010000900300070008001925000062000,291837564456129738873645219165293487742586391389714652924358176638471925517962843
46,704058093065200071023000050600005740307009002092000035000096004000480010040010500,714658293965234871823971456681325749357149682492867135178596324536482917249713568
47,000012009400009700000607820000750060004001050500400172305164007740820030026903400,867312549432589716951647823213758964674291358598436172385164297749825631126973485
48,060920873080457006020006495000100008690043700100068300005600000900304002206000980,564921873389457216721836495453179628698243751172568349845692137917384562236715984
49,045890160892716345670005809068100000023560008907204530000070452030650701009400600,345892167892716345671345829568139274423567918917284536186973452234658791759421683
50,614008907208400130000021004502907681169802700000015200095284016021576400486103000,614358927278469135953721864542937681169842753837615249795284316321576498486193572
51,320051040048200007000000061010000094075060380064930100400600003000010028001400000,326751849148296537597348261213875694975164382864932175452689713639517428781423956
52,710430259396010048200897613580061097907305004601974580100049835000023470000608901,718436259396512748245897613584261397927385164631974582162749835859123476473658921
53,040200700728000903000079000000600008580002000390005071007000030810540627000800000,943268715728154963165379482472631598581792346396485271257916834819543627634827159
54,006209030297460851340000690008905176002376980679084023010530209963042015700001008,586219437297463851341758692438925176152376984679184523814537269963842715725691348
55,017950008980070504250486071578200006120360745634710029705031000301520680890607153,417953268986172534253486971578294316129368745634715829765831492341529687892647153
56,964100283200000005000300694020618000485000960710900000502000170091020506600090000,964157283238469715157382694329618457485273961716945328542836179891724536673591842
57,900461580840750003567003004154628709729134805306900410205897040403506208678342951,932461587841759623567283194154628739729134865386975412215897346493516278678342951
58,000012004000659082650800000001408006069003040824060309015037908086045200030080400,798312654143659782652874193371498526569723841824561379415237968986145237237986415
59,000060408087004306410000000000403000002700104840019000170200500090870031003001087,359162478287594316416387952761423895932758164845619723178236549694875231523941687
60,103000000004006000007000583870961000001005700000700001090070032000030954300040000,153897426284356179967214583872961345631425798549783261495178632718632954326549817
61,400008007509030080670200041920671834800020710700003900150000078096004103380010000,432168597519437682678259341925671834843925716761843925154396278296784153387512469
62,060205498289070000453609271531807900842900753900053800698502040000008526025340089,167235498289174635453689271531827964842961753976453812698512347314798526725346189
63,040601030090470005360500000810060002230108560674950080080000006720890310403006079,547621938198473625362589741815367492239148567674952183981734256726895314453216879
64,700219005095430000002870600004593000570002900060100002600900030900300106400001008,746219385895436271132875649214593867578642913369187452651928734987354126423761598
65,060500000001007050000009307000201500006005204005380100090810030108703040607000810,763548921921637458584129367849261573316975284275384196492816735158793642637452819
66,280749005005602000001050020000007600820900300600420078000006000308190060904000081,286749135735612849491358726549837612827961354613425978172586493358194267964273581
67,200300104190200057000001000020003605060052009900740812070030240000427093302105008,257369184196284357483571926824913675761852439935746812579638241618427593342195768
68,094600301000409075702030090000013048600570030403208050100002000240095063075000000,894657321361429875752831496527913648689574132413268957136742589248195763975386214
69,850901023900080000706423580000700206200000004070652900000210008142000095007000160,854971623923586417716423589391748256265139874478652931639215748142867395587394162
70,030000007001000580847600000300040070050136900000720054003500006600014805510302709,935281467261497583847653192329845671754136928186729354493578216672914835518362749
71,040806035003010860000002940700428053004735019000100704059200000800040001016000400,942876135573914862168352947791428653684735219235169784459281376827643591316597428
72,008000150570900006000020079030069507065080003400003061307091040000506002092008705,928637154573914826146825379231469587765182493489753261357291648814576932692348715
73,106000300002030080078000040010806020639420570000090006765100200800200000021004857,156748392492635781378912645514876923639421578287593416765189234843257169921364857
74,004039500005400007102000008749085003800067240000300080400020190900073050508004000,674839521385412967192756438749285613813967245256341789437528196921673854568194372
75,305294017400700609708000400070005380010840000906312074007520000000183050000079060,365294817421758639798631425274965381513847296986312574137526948649183752852479163
76,805030000900600003310000508200806700087913620000000035009000201000070096030002000,865431972972685143314729568243856719587913624196247835759364281421578396638192457
77,900230070073150026126708500700400600080001030694000180000600200007829010010047308,945236871873154926126798543731482659582961734694375182458613297367829415219547368
78,006005010301408006078300500500247160000089305087000209090504000800900000105800007,426795813351428796978316524539247168214689375687153249792534681863971452145862937
79,500800291820100004970040856745028019000700605200915080350090060617082943409301570,534876291826159734971243856745628319198734625263915487352497168617582943489361572
80,741085900653020847000730561580001074000090185107050090470900650836000010905046003,741685932653129847298734561589361274364297185127458396472913658836572419915846723
81,820700006009010000047006810050397000906400030000200790062139004083500160100000372,821743956639815427547926813258397641976451238314268795762139584483572169195684372
82,704165930926837415013402867301509276265740180809021004400006528002970643638254790,784165932926837415513492867341589276265743189879621354497316528152978643638254791
83,006500004009002783230090015000700800000040060000068072963000000001326000024070530,716583294459612783238497615642739851187245369395168472963854127571326948824971536
84,006312700130904806040600009000003007060007900000508300920000008074051093080420071,896312754135974826742685139259163487368247915417598362921736548674851293583429671
85,106089070030002690729050000902830104600000002305207900590008016240000000001394520,156489273438172695729653841972836154684915732315247968593728416247561389861394527
86,900700051060954078008102046000420085895601023000083007103200060080340512200800739,924768351361954278578132946637429185895671423412583697153297864789346512246815739
87,009000042000024000000071039380000250001050080205810093920705010138296005750008900,579683142813924567462571839387469251691352784245817693926745318138296475754138926
88,070020005065190700090007410080072000109000200024000060932061804610000072047000691,471623985865194723293857416386572149159486237724319568932761854618945372547238691
89,350706002080400156000500037710000600008640001645020893061009378029370060503064010,354716982287493156196582437712938645938645721645127893461259378829371564573864219
90,019020070800070030070610900754060000090800740030140000007290053060001200902350080,519423876826579431473618925754962318691835742238147569187294653365781294942356187
91,005040003009002678600107000300010002106003000090005080043200805000004006000538027,875946213419352678632187954387419562156823749294675381743261895528794136961538427
92,981647053402905617657132098000023761700401002100000300205396874879014536346570129,981647253432985617657132498594823761763451982128769345215396874879214536346578129
93,009040013000901000807000060000000638643800000190500000481002056036150904020074081,259746813364981572817235469572419638643827195198563247481392756736158924925674381
94,000005198010089403000300052190060030200007916605008724926000007000890241001070509,364725198512689473879341652197462835248537916635918724926154387753896241481273569
95,209401570001685920040920001896500000020700060000000209900200043002809000680054092,269431578371685924548927631896542317123798465754163289915276843432819756687354192
96,650400070000001430001087569560100287027640900010000603000075800872914056495006721,653429178789561432241387569564193287327648915918752643136275894872914356495836721
97,048520100096700000231004070107960005800000030050208000070302804002000650904000020,748529163596731248231684579127963485869145732453278916675312894382497651914856327
98,803000400279300510004980000080003204400025006090476003708000600300708925020601000,863512479279364518154987362687193254431825796592476183748259631316748925925631847
99,790040300100095200000600104060189030010703645300000000081004003003068000040300986,796241358134895267258637194465189732819723645372456819681974523923568471547312986
100,360015700090004850475028391247103689036000070519780240723000418084201507601800930,368915724192374856475628391247153689836492175519786243723569418984231567651847932
101,029000704050046392407002000200003840178400003000805200000067450000150900060300100,629531784851746392437982615295673841178429563346815279913267458782154936564398127
102,009025004640801300052704981423009760001006000900007023004000806080070200206008517,819325674647891352352764981423189765571236498968457123794512836185673249236948517
103,000001004859407210000060359060020501594008632312000070007000805900600023003185497,236951784859437216471862359768329541594718632312546978147293865985674123623185497
104,047000189900008000006000405039607010820500030071000008200415700000960000060072900,347256189952148376186739425539687214824591637671324598298415763715963842463872951
105,060148293803506017914723000386910050000300864400082030600200008201060375030070009,765148293823596417914723586386914752192357864457682931679235148241869375538471629
106,082070104370080900501403007000100096903020051000390842059008003060004000430952008,682579134374281965591463287825147396943826751716395842259618473168734529437952618
107,000000087300090542740050009050000914074085023631009070805000430000034200460520790,519462387386791542742853169258376914974185623631249875825917436197634258463528791
108,106074950800053100000200000005020601480700500000930800300102068001006379060000000,126874953879653124534219786795428631483761592612935847357192468241586379968347215
109,000000020520003010607085000040708000763521000001046200070300001096050340008062070,384619725529473618617285493942738156763521984851946237275394861196857342438162579
110,001005069000040017406007300850030970700008521000750800368001700000400650005806000,271385469583649217496217385852134976734968521619752843368521794127493658945876132
111,500000891000109650081056032078034200049627100652091004004000020000070000005213700,567342891423189657981756432178534269349627185652891374714968523236475918895213746
112,069013802001002030000006710520139068930465271010207305090324180006070920083001040,469713852871952634352846719527139468938465271614287395795324186146578923283691547
113,002684970480309510000520000268053007005900000907000040054098000620000000800030004,512684973486379512793521486268453197145967328937812645354298761621745839879136254
114,700610902082030067019070800208561793967820514103097006801300020390080051006149000,735618942482935167619274835248561793967823514153497286871356429394782651526149378
115,300007060780630050650000037003010876500308290019000003070980010000100004000020009,392457168784631952651892437423519876567348291819276543276984315938165724145723689
116,934017000007004005000209003301002600000040000060150000680400002215308047703025060,934517286827634195156289473371892654592746318468153729689471532215368947743925861
117,086102090039605801715904320503001009008500004062098003007009402304250010801346905,486132597239675841715984326543761289978523164162498753657819432394257618821346975
118,300506020900810003645000000050127460401090000079605001006080005002050346004061090,318576924927814653645932187853127469461398572279645831796483215182759346534261798
119,286071500905038274070500800300700000004150007750820600000200139600000750037905000,286471593915638274473592816321746985864159327759823641548267139692314758137985462
120,050600000072000496001000508007063002816002053003089000000000180080406230205900070,958624317372851496641397528597163842816742953423589761764235189189476235235918674
121,050070649200000030073004800980500460320006908400790320836017594000089273000035000,158372649249861735673954812981523467327146958465798321836217594514689273792435186
122,940003016871659324302174850409010073180907045006400901094580100600340598038091462,945823716871659324362174859459218673183967245726435981294586137617342598538791462
123,030002496820009750900076030308000005005390680400068000090000000600207019042000000,137852496826439751954176832368721945215394687479568123591683274683247519742915368
124,105000209008642000247500008506080094003400080800927065009008020070090000402750010,165873249938642571247519638526381794793465182814927365659138427371294856482756913
125,000050604000046050050900830290000700000830000385074160700000000940610005561000428,172358694839146257456927831294561783617839542385274169723485916948612375561793428
126,070186005006030270054002010001607090000821000085093160200360000048709026060205987,972186435816534279354972618421657893639821754785493162297368541548719326163245987
127,500208903300000526902700840020000150130000004800000700000070000050820000796010080,514268973378941526962753841629437158137582694845196732283675419451829367796314285
128,450062801600400020000301060036040180820100040049605372010820900005973010070504006,453762891691458723782391564536247189827139645149685372314826957265973418978514236
129,230000108000008050809730000000093461100006020060027500020659780600401300000070610,235964178746218953819735246572893461193546827468127539321659784657481392984372615
130,040690380060538009308000260502070010400023800630000000000000030000007600070260500,745692381261538479398741265582476913417923856639185724926854137854317692173269548
131,100074230602305004008120700006000001250001040941000076814002607760008092529740003,195674238672385914438129765386497521257861349941253876814932657763518492529746183
132,010903057060800132370506840003000260820300471140000390000100923200798006691000780,418923657569847132372516849953471268826359471147682395785164923234798516691235784
133,080000305965000000000000000476900500000708040000000017040092800703600100090100420,187249365965317284234865791476921538319758642852436917641592873723684159598173426
134,000009103000002857837005290900400000600900408450200000000500971710694320305021684,526879143149362857837145296983417562672953418451286739264538971718694325395721684
135,090400507042005031080702900800076090000500604506090270050049700070010459009057103,693481527742965831185732946824176395937528614516394278351849762278613459469257183
136,009016307034070029768239005276050930090682070040007102400500706952701043000900250,529416387134875629768239415276154938391682574845397162413528796952761843687943251
137,208400030040805020005020000057000002000072105400003798006000000001730609700080210,278469531643815927915327486157948362389672145462153798536291874821734659794586213
138,001298000960000102230400005000000409429073518000040306002080004080756203706020050,541298637968537142237461985673815429429673518815942376352189764184756293796324851
139,093000078127080063806000410600402000005391602000000300001073006370040000960000704,493516278127984563856237419639452187785391642214768395541873926372649851968125734
140,000040006860509047490060350049128673008007090012036405000604539900071000084095700,275843916863519247491762358549128673638457192712936485127684539956371824384295761
141,500006001031098007060052030400007580005834712007005003904720008102600300370581090,549376821231498657768152439423917586695834712817265943954723168182649375376581294
142,020010740419008060000200090000120000805970126170064030084501000791000000006000008,628319745419758263537246891963125487845973126172864539384591672791682354256437918
143,006950480050861397801437265005346178347189520000705903080690002609200854004510639,736952481452861397891437265925346178347189526168725943583694712619273854274518639
144,570230600120090030000681027080053006304010000600740000000160073040020960060408210,578234691126597834439681527287953146394816752615742389852169473741325968963478215
145,600400800000000069480600015264013950057280630803009000740000093320001070195306004,631495827572138469489627315264713958957284631813569742746852193328941576195376284
146,200000031810300760036007400060000800080400009009703010000004150600002307070100004,257846931814329765936517428765291843183465279429783516398674152641952387572138694
147,480002750710805600500637100375060820164080070809070060948710205230008416600000907,486192753713845692592637148375469821164283579829571364948716235237958416651324987
148,370100902020700040600249053056027000138000070207314008513002000000900100800501420,374156982925783641681249753456827319138695274297314568513472896742968135869531427
149,805072000910804507074500030001020306003400002500100790007005000000360009060000070,835672941912834567674591238481729356793456812526183794247915683158367429369248175
150,000010000100000095560074032700008410095301060013000020650080900048790050072040080,237519648184632795569874132726958413495321867813467529651283974348796251972145386
151,107928036008000900009450700900305000710890045004017800005602078201080600060100520,157928436348761952629453781986345217712896345534217869495632178271584693863179524
152,003086952900040068068002701890673020200800603630405810000000506480050130000060204,743186952912547368568932741891673425254891673637425819329714586486259137175368294
153,739025001420006073010070082900180754000609318801537260300050490102760835654098127,739825641428916573516473982963182754275649318841537269387251496192764835654398127
154,208463159000708024309120007000971600013856400786204015000007206060040598532609001,278463159651798324349125867425971683913856472786234915894517236167342598532689741
155,040735096006418007005200000312680759094350162000190400400500308080000604061800005,148735296926418537735269841312684759894357162657192483479526318583971624261843975
156,082006009073900012000001300400095068005010000810000000720069450050080703000400800,182736549573948612946521387437295168265813974819674235728369451654182793391457826
157,600905084009080350500007962804000005000068009916000803040006091205009400093042076,637925184429681357581437962874293615352168749916574823748356291265719438193842576
158,090007800708305602600000000000850009503496070900203005800002030000030500300569700,195627843748315692632984157274851369513496278986273415857142936469738521321569784
159,300000800084536100600100000900700034063824097450603218730005086041369020590208301,315947862284536179679182453928751634163824597457693218732415986841369725596278341
160,009050403250000007603147005430861090020405006068230054807006340040700001596010278,179652483254983617683147925435861792921475836768239154817526349342798561596314278
161,170004023005002000000009050000203619013090047062701085007005004021000000090008700,179654823645832971238179456754283619813596247962741385387925164421367598596418732
162,052900618170082000860145729605304000000000004900000130086400000001507080307000561,452973618179682345863145729615394872738216954924758136586431297291567483347829561
163,807000104000810005601050090139740080005000030270900600714069000006008310083020070,857693124392814765641257893139746582465182937278935641714369258526478319983521476
164,000005432005302000042681070603000009000009060000810000004000600010028040030000027,168795432975342186342681975683457219451239768297816354824573691716928543539164827
165,500364128831050960624109005005073400203940850000825739312598040400012583050000091,597364128831257964624189375985673412273941856146825739312598647469712583758436291
166,000100040460009002100504637003000760010470000750318090590701320201000470674280005,325167849467839152189524637843952761912476583756318294598741326231695478674283915
167,830621050207958000000307000050832070370405001026079030000013098103080047085204103,834621759267958314519347682951832476378465921426179835642713598193586247785294163
168,400000000089064750050008069007400003000126004000080000508600100604500980371892645,416975328289364751753218469867459213935126874142783596598647132624531987371892645
169,798000210034002090120607340049276081000003020056089070400000062060000804080304007,798435216634812795125697348349276581871543629256189473413758962567921834982364157
170,300060580019308600605009340000096834006803702043072016000600100070230400008000200,327461589419358627685729341752196834196843752843572916234687195971235468568914273
171,040890000690031540208546973050000080024080617006004350409078000100009730062050894,543897261697231548218546973351762489924385617876914352439678125185429736762153894
172,506349208003000100000000530640200890975000623002967400230050016007098040000120780,516349278893572164724816539641235897975481623382967451238754916157698342469123785
173,819003045547800003302470109000900070004000060000034098003258010000709802020000907,819623745547891623362475189185962374934587261276134598793258416651749832428316957
174,300046190000009720895020400080950600659014007042600509031000076078000000564008000,327546198416389725895127463783952641659814237142673589231495876978261354564738912
175,060100400450608192903500000000816074080092000791000820000005040076301009208000301,862179435457638192913524768325816974684792513791453826139285647576341289248967351
176,000300610170000400000094308500840900084600200000000080720000090000950740609008002,498327615173586429256194378512843967984675231367219584725461893831952746649738152
177,500091630009300000106700090020109368690032000000460500860254970200980006050017400,542891637789346215136725894425179368698532741317468529861254973274983156953617482
178,006050084318060050042810090005001020160285300000670810080000000007008000251000430,796352184318964752542817693875431926169285347423679815684123579937548261251796438
179,003080247801000000000090005692050010384219750170846032710030004549128600238400591,953681247821574369467392185692753418384219756175846932716935824549128673238467591
180,703054020009826034624000800205010307106380040390002010930000102800001403001000970,783954621519826734624137895245619387176385249398472516937548162862791453451263978
181,001050903069073004003041006080004300000700015900020700096010040508090001140000589,471856923869273154253941876785164392632789415914325768396518247528497631147632589
182,890000000040708300060004001080003126003810950500409803602000009130040700408090000,895132647241768395367954281984573126723816954516429873652387419139245768478691532
183,007000830002008004000000009500009470608540092403720000806215047750684301000030568,947152836162398754385476219521869473678543192493721685836215947759684321214937568
184,580107020060809030010300658000000010650001380800230476000000000028913700176040203,583167924264859137719324658342786519657491382891235476935672841428913765176548293
185,310070000000004000009060327050147802040000050008009000095003284800200010030085000,312978645567324198489561327953147862146832759728659431695713284874296513231485976
186,239560040185347200740000000618402905057090302003070086302786104004913820870204693,239561748185347269746829531618432975457698312923175486392786154564913827871254693
187,210000500403805000508000406700104000830076000009020007000013005950080003001607004,216749538473865219598231476765194382832576941149328657684913725957482163321657894
188,269045701418730506037010820940267000076003940302004657051308479024976305090401268,269845731418732596537619824945267183176583942382194657651328479824976315793451268
189,020000000005801246000002030061020004003010807802009050254067980600405010010080405,126934578395871246487652139561728394943516827872349651254167983638495712719283465
190,000600015050039867000002400090000700548000003000003100306845901080217006000000580,439678215251439867867152439193564728548721693672983154326845971985217346714396582
191,849000000203401000100002307710023056680070000930086724598007261000250470000018035,849735612273461589156892347714923856682574193935186724598347261361259478427618935
192,127540836648123059593768041902000078486090003005010092050082167061370085809601020,127549836648123759593768241912435678486297513735816492354982167261374985879651324
193,021070300480139200973025000200960005006000801000307600502800470397004500860703012,621478359485139267973625148248961735736542891159387624512896473397214586864753912
194,400079005060284703000563184620308000308607000907400030000901508010735060002046007,483179625165284793279563184621358479348697251957412836736921548814735962592846317
195,006008000592000008807065240670301029400026080250004006700080950003502100025640000,346218795592437618817965243678351429439726581251894376764183952983572164125649837
196,200094000700003805008500042000000010410000050000050904080400069020000301536079420,265894137741263895398517642859746213413928756672351984187432569924685371536179428
197,060000001710503046304670000000000030520007008000040007600015002000062084070800560,865429371712583946394671825487156239526937418139248657648315792953762184271894563
198,000056970897210504645897321569002483482365710003984600058001230206739805704528096,321456978897213564645897321569172483482365719173984652958641237216739845734528196
199,006003090830049165005001002079005400003892050200006010700050000000037900004900571,126583794837249165945761832679315428413892657258476319791654283582137946364928571
200,490500000060007000002001547019300000306000051024000900601084020040200180200053000,497538612165427398832691547519362874386749251724815936651984723943276185278153469
201,300504097040010500050708004400000378273080905810370206000067053506801720024935801,381524697947613582652798134469152378273486915815379246198267453536841729724935861
202,000000094090008100030020000050061842648205700701890060010947350300010480405683020,187356294296478135534129678953761842648235719721894563812947356369512487475683921
203,312500070980000063400000912700805026008409157031020009000208740800054290250900000,312596874987142563465783912749815326628439157531627489193268745876354291254971638
204,350268490809140500047000000906300845030400076520806931002003604005794000400012050,351268497869147523247935168976321845138459276524876931792583614615794382483612759
205,042976801010350024800120690060783002001492300920615080004530060308207000206840070,542976831619358724837124695465783912781492356923615487174539268358267149296841573
206,004526007530107402002493185306278500098310070200649831040051000805902010000800753,184526397539187462762493185316278549498315276257649831643751928875932614921864753
207,000000218280470050951208746042807000300902580590304600025700803003126405069503027,734695218286471359951238746642857931317962584598314672125749863873126495469583127
208,302008050008004600904035008000893007890507206000006400080070905549002300000309042,372968154158724693964135728426893517891547236735216489283471965549682371617359842
209,208069003000250198090170264800730010000000080004500300030010900005097000006304500,218469753467253198593178264829736415351942687674581329732815946145697832986324571
210,064700500052100407080000090079503004415806200600040000048000020007650100030294805,964732581352189467781465392879523614415876239623941758548317926297658143136294875
211,008169007706530801053000000070406000049000710005090042034051008001920070287043000,428169537796534821153872496372416985649285713815397642934751268561928374287643159
212,060000070089172040713009008178903452000200037040051000000026704006807200027095006,264538971589172643713649528178963452695284137342751869951326784436817295827495316
213,009500130607000259035907040068054300000029400000086070074030020890200600026000700,489562137617843259235917846768154392351729468942386571174638925893275614526491783
214,040830976000000082008000540080000004500207603007406805906340000405000209000500400,142835976759164382368729541681953724594287613237416895976342158415678239823591467
215,490000705000097040002100090070208004910760203280903670006009300109002508000050409,491826735368597142752134896673218954914765283285943671526489317149372568837651429
216,820073560001000704709006030000001300190800207002007018908060100000020480203000670,824973561361582794759416832487291356196835247532647918978364125615729483243158679
217,090184250008593010000067084025049370003010548004075002010730069400000730700000000,697184253248593617351267984125849376973612548864375192512738469486921735739456821
218,970003204008602030204590086600780300403200070051300000067000402000120700120400063,976813254518642937234597186692781345483259671751364829867935412345126798129478563
219,090027060846395102020460009978546013054013087360080590687234951039050026012600340,193827465846395172725461839978546213254913687361782594687234951439158726512679348
220,560820900038496102090000863009035706350048210026709038680300491105062087970080000,561823974738496152294571863819235746357648219426719538682357491145962387973184625
221,258100604631800050009250810305002946084300100062400085593678000140023508806014030,258137694631849257479256813315782946984365172762491385593678421147923568826514739
222,000046500002300076043007098000620000091785624020004701009800000200073000000000047,987146532512398476643257198754621983391785624826934751479812365265473819138569247
223,018000063004006050030010407003128509000603108801007230000051000067080010000002700,518274963724936851936815427673128549452693178891547236349751682267489315185362794
224,900012035000057420050463007700000364501340000000096050010630790200080506609070013,974812635386957421152463987798521364561348279423796158815634792237189546649275813
225,070020604080000102001860007400000709097003050010900040302085900150200078760000405,975321684684597132231864597423658719897413256516972843342785961159246378768139425
226,000420003167503008200160900005071000786204019090856000000002000038700002670000091,859427163167593428243168957425971386786234519391856274914682735538719642672345891
227,070806014000030900304001602030900000420017506000000800780000025043700000060059000,275896314816234957394571682637985241428317596951642873789163425543728169162459738
228,650740001000060020704038965100500842490800603583020007310009000008056009906007530,659742381831965724724138965167593842492871653583624197315489276278356419946217538
229,030260800108570023092380057215796080070040000003025090000050900306918405900000210,537261849148579623692384157215796384879143562463825791781452936326918475954637218
230,650007080430900007708600049074001060190700050062500073305294706210056098000100005,659427381431985627728613549574831962193762854862549173385294716217356498946178235
231,740015900510000040286000301000576020052000478107020036005709010000003090074108063,743615982519382647286497351438576129652931478197824536325769814861243795974158263
232,070006000085040069649700123960258000030097050020004078002000094710569382896020007,273916845185342769649785123967258431438197256521634978352871694714569382896423517
233,000080009200300407070004030002006905000008700507100083700000001381007006605801000,463785129258319467179264538832476915916538742547192683724653891381947256695821374
234,000300940009860005857420001092003006060970523000016094000000067610090300273684009,126357948349861275857429631792543816461978523538216794985132467614795382273684159
235,000308000081007090004000782240705006000010075105060009350006000400071350800030000,792348561581627493634159782248795136963412875175863249357286914426971358819534627
236,018703009000000701500010320400870603609302000000001008960030070004000000802000406,218743569346925781597618324421879653689352147753461298965134872174286935832597416
237,008007540603000100057080009082006090309500864006090052000004000000602905700000410,218967543693245187457183629582476391379521864146398752961754238834612975725839416
238,000300748480009200030070100610050089024090370790030050000085900040000020802943500,159326748487519236236874195613752489524698371798431652371285964945167823862943517
239,000009050950046072028007940070090031030782509589060020361078200800603410000910006,417239658953846172628157943276594831134782569589361724361478295895623417742915386
240,537806491800900000196040000900207040470080010010060003080005009609100504050000000,537826491842951367196743258963217845475389612218564973784635129629178534351492786
241,020100034000048200700052090210007956350690080008005073006000305003004001100003800,829176534635948217741352698214837956357691482968425173486719325593284761172563849
